Title,Description,Creator,Link,ImageLink
シラバスgpt (Get夢ナビ neo),滋賀大生の将来の夢を入力されるとそれに資する授業を提案します。,K.Kawasaki,https://chatgpt.com/g/g-68216a735c3481919171f2b489d13d2f-sirabasu-gpt-getmeng-nabi-neo,/image/d6f362e7-32d2-45c7-bcc4-677b273328e9.png
DS研究科研究室紹介（非公式/自主ゼミで作成）,滋賀大学大学院データサイエンス研究科の研究室を紹介をするGPTです,宮田尚弥,https://chatgpt.com/g/g-684f70191a108191b5237dacf243ecc7-dsyan-jiu-ke-yan-jiu-shi-shao-jie-fei-gong-shi-zi-zhu-semitezuo-cheng,image/kara.png
てんきおしえてくれるくん,天気を教えます,NANJO, Hiroaki,https://chatgpt.com/g/g-68216a47a1c881918a368d9070397858-tenkiosietekurerukun,N/A
chef,Gpt gives us ideas of dishes.,Moto Tanaka,https://chatgpt.com/g/g-6833e17e9a9c8191a6b197a176db3c9a-chef,N/A
Fridge to Fork,Suggests and explains recipes based on your fridge photos.,Moto Tanaka,https://chatgpt.com/g/g-68216a5db0a88191967307320de50dae-fridgetofork,https://chatgpt.com/backend-api/estuary/content?id=file-4sgbDoPCxcBG1cza5SKw2y&gizmo_id=g-68216a5db0a88191967307320de50dae&ts=486939&p=gpp&cid=1&sig=239ccaef815d807bd30934a6f6d4e5b1f13883bc47b51f13f7a43afbc2963e2e
滋賀大学友達マッチングgpt,滋賀大学生向けマッチング支援GPT。対話入力で匿名登録＆スプレッドシート連携。,Suzuki Reo,https://chatgpt.com/g/g-6822e86bdb58819180bce9700a50d97c-zi-he-da-xue-you-da-matutingu-gpt,https://chatgpt.com/backend-api/estuary/content?id=file-N7jCLWpdEaGsPTg6o52y85&gizmo_id=g-6822e86bdb58819180bce9700a50d97c&ts=486939&p=gpp&cid=1&sig=7ac49253cf1d51086e14e9a80de615abbaecbf131c86605d952c90c0ebd07650
レシピカメラ,冷蔵庫画像から食材と鮮度・量を読み取り、目的別レシピと保存アドバイスを提案,岡田大輝,https://chatgpt.com/g/g-6821575e3e608191b8fcc2262eab20aa-resihikamera,https://chatgpt.com/backend-api/estuary/content?id=file-W8Yyps1wZKfZrwjb2RyvHz&gizmo_id=g-6821575e3e608191b8fcc2262eab20aa&ts=486939&p=gpp&cid=1&sig=93daddfb7275b738ce2ca9b39ffa6758bc529eb8e3a13a89ec8c9dd99c53bbdf
数式解釈＋図示アシスタント,講義資料のPDFをアップロードすると、その資料に出てくる数式を、まず講義の流れを押さえてから、記号の意味→パーツごとの構造→全体の意味→図解という順でわかりやすく解説します。文系出身や社会人学生のためのやさしいサポートに特化しています。,宮田尚弥,https://chatgpt.com/g/g-68216af6136c8191849a62629b1d7d8f-shu-shi-jie-shi-tu-shi-asisutanto,N/A
滋賀大学イベント案内,大学内で行われるイベントを紹介します。（就職関係、留学関係、セミナー関係、団体関係など）,Oishi Yuta,https://chatgpt.com/g/g-68216b083e4c8191844373454c46e302-zi-he-da-xue-ibento-an-nei,https://chatgpt.com/backend-api/estuary/content?id=file-H4V8GhVYup1c9oRwcwkZWe&gizmo_id=g-68216b083e4c8191844373454c46e302&ts=486939&p=gpp&cid=1&sig=8c14ca82b9906370183c71d5f774e31b064d17c6fd974539bbccc99f6c9d0a08
(仮)EBサイト情報,英語学習スクール『株式会社 English Buffet』の情報をHP(https://englishbuffet.net/)以下より参照、返信,岸田洋明,https://chatgpt.com/g/g-68216a6b031081918f5fcc84ad294b88-jia-ebsaito-qing-bao,https://chatgpt.com/backend-api/estuary/content?id=file-HPXFgP7Ru5EDaN7nViELQQ&gizmo_id=g-68216a6b031081918f5fcc84ad294b88&ts=486939&p=gpp&cid=1&sig=58e4387cd0c9bd8952e32cebfe67b3d11c80d52e455fc698b9af0ad518afd38e
